time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
11.250 	 -0.988 	 -0.158 	 2.983 	 	 -1.007 
11.300 	 -0.996 	 -0.089 	 3.052 	 	 -1.377 
11.350 	 -1.000 	 -0.005 	 3.137 	 	 -1.696 
11.400 	 -0.996 	 0.093 	 3.049 	 	 -1.951 
11.450 	 -0.980 	 0.198 	 2.942 	 	 -2.133 
11.500 	 -0.952 	 0.306 	 2.830 	 	 -2.236 
11.550 	 -0.911 	 0.412 	 2.717 	 	 -2.257 
11.600 	 -0.861 	 0.509 	 2.607 	 	 -2.200 
11.650 	 -0.803 	 0.595 	 2.504 	 	 -2.070 
11.700 	 -0.744 	 0.668 	 2.410 	 	 -1.875 
11.750 	 -0.688 	 0.726 	 2.329 	 	 -1.626 
11.800 	 -0.638 	 0.770 	 2.262 	 	 -1.332 
11.850 	 -0.598 	 0.801 	 2.212 	 	 -1.006 
11.900 	 -0.571 	 0.821 	 2.179 	 	 -0.657 
11.950 	 -0.559 	 0.829 	 2.164 	 	 -0.293 
12.000 	 -0.563 	 0.827 	 2.168 	 	 0.077 
12.050 	 -0.581 	 0.814 	 2.191 	 	 0.446 
12.100 	 -0.613 	 0.790 	 2.231 	 	 0.805 
12.150 	 -0.657 	 0.754 	 2.288 	 	 1.146 
12.200 	 -0.711 	 0.704 	 2.361 	 	 1.459 
12.250 	 -0.769 	 0.639 	 2.448 	 	 1.735 
12.300 	 -0.828 	 0.561 	 2.546 	 	 1.963 
12.350 	 -0.883 	 0.470 	 2.653 	 	 2.133 
12.400 	 -0.930 	 0.368 	 2.764 	 	 2.233 
12.450 	 -0.965 	 0.261 	 2.877 	 	 2.258 
12.500 	 -0.988 	 0.154 	 2.987 	 	 2.202 
12.550 	 -0.999 	 0.051 	 3.091 	 	 2.066 
12.600 	 -0.999 	 -0.042 	 3.100 	 	 1.853 
12.650 	 -0.993 	 -0.120 	 3.021 	 	 1.570 
12.700 	 -0.984 	 -0.181 	 2.960 	 	 1.229 
12.750 	 -0.975 	 -0.222 	 2.918 	 	 0.842 
12.800 	 -0.970 	 -0.242 	 2.897 	 	 0.424 
12.850 	 -0.970 	 -0.242 	 2.897 	 	 -0.010 
12.900 	 -0.975 	 -0.220 	 2.919 	 	 -0.443 
12.950 	 -0.984 	 -0.178 	 2.962 	 	 -0.860 
13.000 	 -0.993 	 -0.117 	 3.025 	 	 -1.245 
13.050 	 -0.999 	 -0.038 	 3.104 	 	 -1.584 
13.100 	 -0.998 	 0.055 	 3.086 	 	 -1.864 
13.150 	 -0.987 	 0.158 	 2.982 	 	 -2.074 
13.200 	 -0.964 	 0.266 	 2.872 	 	 -2.207 
13.250 	 -0.928 	 0.373 	 2.759 	 	 -2.259 
13.300 	 -0.880 	 0.474 	 2.648 	 	 -2.230 
13.350 	 -0.825 	 0.565 	 2.541 	 	 -2.126 
13.400 	 -0.766 	 0.643 	 2.444 	 	 -1.954 
13.450 	 -0.708 	 0.706 	 2.357 	 	 -1.724 
13.500 	 -0.655 	 0.756 	 2.285 	 	 -1.446 
13.550 	 -0.611 	 0.791 	 2.229 	 	 -1.131 
13.600 	 -0.580 	 0.815 	 2.189 	 	 -0.789 
13.650 	 -0.562 	 0.827 	 2.168 	 	 -0.429 
13.700 	 -0.560 	 0.829 	 2.165 	 	 -0.061 
13.750 	 -0.572 	 0.820 	 2.180 	 	 0.309 
13.800 	 -0.600 	 0.800 	 2.214 	 	 0.673 
13.850 	 -0.640 	 0.769 	 2.265 	 	 1.021 
13.900 	 -0.690 	 0.724 	 2.332 	 	 1.346 
13.950 	 -0.747 	 0.665 	 2.414 	 	 1.638 
14.000 	 -0.806 	 0.592 	 2.508 	 	 1.885 
14.050 	 -0.863 	 0.505 	 2.612 	 	 2.077 
14.100 	 -0.913 	 0.407 	 2.722 	 	 2.204 
14.150 	 -0.953 	 0.302 	 2.835 	 	 2.258 
14.200 	 -0.981 	 0.193 	 2.947 	 	 2.233 
14.250 	 -0.996 	 0.088 	 3.053 	 	 2.126 
14.300 	 -1.000 	 -0.009 	 3.133 	 	 1.941 
14.350 	 -0.996 	 -0.093 	 3.049 	 	 1.683 
14.400 	 -0.987 	 -0.160 	 2.981 	 	 1.362 
14.450 	 -0.978 	 -0.209 	 2.931 	 	 0.990 
14.500 	 -0.971 	 -0.237 	 2.902 	 	 0.582 
14.550 	 -0.970 	 -0.245 	 2.895 	 	 0.152 
14.600 	 -0.973 	 -0.231 	 2.909 	 	 -0.283 
14.650 	 -0.981 	 -0.196 	 2.944 	 	 -0.708 
14.700 	 -0.990 	 -0.142 	 2.999 	 	 -1.106 
14.750 	 -0.998 	 -0.069 	 3.073 	 	 -1.464 
14.800 	 -1.000 	 0.019 	 3.122 	 	 -1.768 
14.850 	 -0.993 	 0.119 	 3.022 	 	 -2.005 
14.900 	 -0.974 	 0.226 	 2.914 	 	 -2.167 
14.950 	 -0.943 	 0.334 	 2.801 	 	 -2.249 
15.000 	 -0.899 	 0.438 	 2.689 	 	 -2.250 
15.050 	 -0.846 	 0.532 	 2.580 	 	 -2.173 
15.100 	 -0.788 	 0.615 	 2.479 	 	 -2.026 
15.150 	 -0.729 	 0.684 	 2.388 	 	 -1.816 
15.200 	 -0.674 	 0.739 	 2.310 	 	 -1.554 
15.250 	 -0.626 	 0.780 	 2.248 	 	 -1.252 
15.300 	 -0.590 	 0.807 	 2.202 	 	 -0.919 
15.350 	 -0.567 	 0.824 	 2.174 	 	 -0.565 
15.400 	 -0.559 	 0.829 	 2.164 	 	 -0.198 
15.450 	 -0.566 	 0.825 	 2.172 	 	 0.172 
15.500 	 -0.588 	 0.809 	 2.199 	 	 0.539 
15.550 	 -0.623 	 0.782 	 2.244 	 	 0.894 
15.600 	 -0.670 	 0.742 	 2.305 	 	 1.229 
15.650 	 -0.725 	 0.689 	 2.382 	 	 1.534 
15.700 	 -0.784 	 0.621 	 2.472 	 	 1.799 
15.750 	 -0.842 	 0.539 	 2.573 	 	 2.013 
15.800 	 -0.896 	 0.445 	 2.681 	 	 2.165 
15.850 	 -0.940 	 0.341 	 2.793 	 	 2.247 
15.900 	 -0.972 	 0.234 	 2.906 	 	 2.252 
15.950 	 -0.992 	 0.127 	 3.015 	 	 2.175 
16.000 	 -1.000 	 0.026 	 3.116 	 	 2.019 
16.050 	 -0.998 	 -0.063 	 3.078 	 	 1.787 
16.100 	 -0.991 	 -0.137 	 3.004 	 	 1.488 
16.150 	 -0.981 	 -0.193 	 2.947 	 	 1.133 
16.200 	 -0.973 	 -0.229 	 2.910 	 	 0.737 
16.250 	 -0.970 	 -0.244 	 2.895 	 	 0.313 
16.300 	 -0.971 	 -0.238 	 2.901 	 	 -0.121 
16.350 	 -0.977 	 -0.212 	 2.928 	 	 -0.552 
16.400 	 -0.986 	 -0.164 	 2.977 	 	 -0.962 
16.450 	 -0.995 	 -0.098 	 3.043 	 	 -1.337 
16.500 	 -1.000 	 -0.015 	 3.126 	 	 -1.662 
16.550 	 -0.997 	 0.081 	 3.060 	 	 -1.925 
16.600 	 -0.983 	 0.186 	 2.955 	 	 -2.116 
