time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
1215.900 	 -0.974 	 -0.229 	 2.911 	 	 -0.321 
1215.950 	 -0.981 	 -0.192 	 2.948 	 	 -0.744 
1216.000 	 -0.991 	 -0.136 	 3.005 	 	 -1.140 
1216.050 	 -0.998 	 -0.062 	 3.080 	 	 -1.494 
1216.100 	 -1.000 	 0.028 	 3.114 	 	 -1.791 
1216.150 	 -0.992 	 0.129 	 3.013 	 	 -2.022 
1216.200 	 -0.972 	 0.236 	 2.904 	 	 -2.177 
1216.250 	 -0.939 	 0.343 	 2.791 	 	 -2.252 
1216.300 	 -0.895 	 0.446 	 2.679 	 	 -2.246 
1216.350 	 -0.841 	 0.540 	 2.571 	 	 -2.163 
1216.400 	 -0.783 	 0.622 	 2.470 	 	 -2.009 
1216.450 	 -0.724 	 0.690 	 2.381 	 	 -1.794 
1216.500 	 -0.669 	 0.743 	 2.304 	 	 -1.529 
1216.550 	 -0.623 	 0.782 	 2.243 	 	 -1.223 
1216.600 	 -0.587 	 0.809 	 2.199 	 	 -0.888 
1216.650 	 -0.566 	 0.825 	 2.172 	 	 -0.532 
1216.700 	 -0.559 	 0.829 	 2.164 	 	 -0.165 
1216.750 	 -0.567 	 0.824 	 2.174 	 	 0.205 
1216.800 	 -0.590 	 0.807 	 2.202 	 	 0.571 
1216.850 	 -0.627 	 0.779 	 2.249 	 	 0.925 
1216.900 	 -0.675 	 0.738 	 2.312 	 	 1.257 
1216.950 	 -0.730 	 0.683 	 2.390 	 	 1.559 
1217.000 	 -0.789 	 0.614 	 2.481 	 	 1.820 
1217.050 	 -0.847 	 0.531 	 2.582 	 	 2.029 
1217.100 	 -0.900 	 0.436 	 2.691 	 	 2.176 
1217.150 	 -0.943 	 0.332 	 2.803 	 	 2.251 
1217.200 	 -0.975 	 0.224 	 2.916 	 	 2.248 
1217.250 	 -0.993 	 0.117 	 3.024 	 	 2.164 
1217.300 	 -1.000 	 0.018 	 3.124 	 	 2.001 
1217.350 	 -0.998 	 -0.070 	 3.071 	 	 1.763 
1217.400 	 -0.990 	 -0.143 	 2.998 	 	 1.458 
1217.450 	 -0.980 	 -0.197 	 2.943 	 	 1.099 
1217.500 	 -0.973 	 -0.231 	 2.908 	 	 0.700 
1217.550 	 -0.970 	 -0.245 	 2.894 	 	 0.275 
1217.600 	 -0.972 	 -0.237 	 2.902 	 	 -0.160 
1217.650 	 -0.978 	 -0.208 	 2.932 	 	 -0.589 
1217.700 	 -0.987 	 -0.159 	 2.982 	 	 -0.997 
1217.750 	 -0.996 	 -0.091 	 3.050 	 	 -1.368 
1217.800 	 -1.000 	 -0.007 	 3.135 	 	 -1.688 
1217.850 	 -0.996 	 0.090 	 3.051 	 	 -1.945 
1217.900 	 -0.981 	 0.195 	 2.945 	 	 -2.129 
1217.950 	 -0.953 	 0.303 	 2.833 	 	 -2.234 
1218.000 	 -0.913 	 0.409 	 2.720 	 	 -2.258 
1218.050 	 -0.862 	 0.507 	 2.610 	 	 -2.203 
1218.100 	 -0.805 	 0.593 	 2.507 	 	 -2.074 
1218.150 	 -0.746 	 0.666 	 2.412 	 	 -1.881 
1218.200 	 -0.689 	 0.725 	 2.331 	 	 -1.633 
1218.250 	 -0.639 	 0.769 	 2.264 	 	 -1.341 
1218.300 	 -0.599 	 0.801 	 2.213 	 	 -1.015 
1218.350 	 -0.572 	 0.820 	 2.180 	 	 -0.666 
1218.400 	 -0.559 	 0.829 	 2.165 	 	 -0.303 
1218.450 	 -0.562 	 0.827 	 2.168 	 	 0.067 
1218.500 	 -0.580 	 0.814 	 2.190 	 	 0.436 
1218.550 	 -0.612 	 0.791 	 2.229 	 	 0.795 
1218.600 	 -0.656 	 0.755 	 2.286 	 	 1.137 
1218.650 	 -0.709 	 0.705 	 2.359 	 	 1.451 
1218.700 	 -0.767 	 0.641 	 2.445 	 	 1.729 
1218.750 	 -0.826 	 0.563 	 2.543 	 	 1.958 
1218.800 	 -0.881 	 0.472 	 2.650 	 	 2.129 
1218.850 	 -0.929 	 0.371 	 2.761 	 	 2.232 
1218.900 	 -0.964 	 0.264 	 2.874 	 	 2.258 
1218.950 	 -0.988 	 0.157 	 2.984 	 	 2.205 
1219.000 	 -0.999 	 0.054 	 3.088 	 	 2.071 
1219.050 	 -0.999 	 -0.039 	 3.102 	 	 1.859 
1219.100 	 -0.993 	 -0.118 	 3.023 	 	 1.578 
1219.150 	 -0.984 	 -0.179 	 2.961 	 	 1.238 
1219.200 	 -0.975 	 -0.221 	 2.919 	 	 0.852 
1219.250 	 -0.970 	 -0.242 	 2.897 	 	 0.435 
1219.300 	 -0.970 	 -0.242 	 2.897 	 	 0.002 
1219.350 	 -0.975 	 -0.221 	 2.919 	 	 -0.431 
1219.400 	 -0.984 	 -0.180 	 2.961 	 	 -0.849 
1219.450 	 -0.993 	 -0.119 	 3.023 	 	 -1.235 
1219.500 	 -0.999 	 -0.040 	 3.101 	 	 -1.576 
1219.550 	 -0.999 	 0.053 	 3.089 	 	 -1.857 
1219.600 	 -0.988 	 0.156 	 2.985 	 	 -2.069 
1219.650 	 -0.965 	 0.263 	 2.875 	 	 -2.204 
1219.700 	 -0.929 	 0.370 	 2.762 	 	 -2.258 
1219.750 	 -0.882 	 0.471 	 2.651 	 	 -2.232 
1219.800 	 -0.827 	 0.563 	 2.544 	 	 -2.130 
1219.850 	 -0.768 	 0.641 	 2.446 	 	 -1.960 
1219.900 	 -0.710 	 0.705 	 2.360 	 	 -1.731 
1219.950 	 -0.656 	 0.754 	 2.287 	 	 -1.454 
1220.000 	 -0.612 	 0.791 	 2.230 	 	 -1.140 
1220.050 	 -0.580 	 0.814 	 2.190 	 	 -0.798 
1220.100 	 -0.562 	 0.827 	 2.168 	 	 -0.439 
1220.150 	 -0.559 	 0.829 	 2.165 	 	 -0.071 
1220.200 	 -0.572 	 0.820 	 2.179 	 	 0.300 
1220.250 	 -0.599 	 0.801 	 2.213 	 	 0.663 
1220.300 	 -0.638 	 0.770 	 2.263 	 	 1.012 
1220.350 	 -0.688 	 0.725 	 2.330 	 	 1.338 
1220.400 	 -0.745 	 0.667 	 2.412 	 	 1.630 
1220.450 	 -0.805 	 0.594 	 2.506 	 	 1.879 
1220.500 	 -0.862 	 0.508 	 2.609 	 	 2.073 
1220.550 	 -0.912 	 0.410 	 2.719 	 	 2.202 
1220.600 	 -0.953 	 0.304 	 2.832 	 	 2.258 
1220.650 	 -0.981 	 0.196 	 2.944 	 	 2.234 
1220.700 	 -0.996 	 0.091 	 3.050 	 	 2.130 
1220.750 	 -1.000 	 -0.006 	 3.135 	 	 1.947 
1220.800 	 -0.996 	 -0.091 	 3.051 	 	 1.690 
1220.850 	 -0.987 	 -0.159 	 2.982 	 	 1.371 
1220.900 	 -0.978 	 -0.208 	 2.932 	 	 1.000 
1220.950 	 -0.972 	 -0.237 	 2.903 	 	 0.593 
1221.000 	 -0.970 	 -0.245 	 2.894 	 	 0.164 
1221.050 	 -0.973 	 -0.231 	 2.908 	 	 -0.271 
1221.100 	 -0.980 	 -0.197 	 2.943 	 	 -0.696 
1221.150 	 -0.990 	 -0.143 	 2.998 	 	 -1.096 
1221.200 	 -0.997 	 -0.071 	 3.070 	 	 -1.455 
1221.250 	 -1.000 	 0.017 	 3.125 	 	 -1.760 
1221.300 	 -0.993 	 0.116 	 3.025 	 	 -1.999 
1221.350 	 -0.975 	 0.223 	 2.917 	 	 -2.163 
1221.400 	 -0.944 	 0.331 	 2.804 	 	 -2.248 
1221.450 	 -0.901 	 0.435 	 2.692 	 	 -2.251 
1221.500 	 -0.848 	 0.530 	 2.583 	 	 -2.176 
1221.550 	 -0.790 	 0.613 	 2.481 	 	 -2.030 
1221.600 	 -0.731 	 0.683 	 2.390 	 	 -1.822 
1221.650 	 -0.675 	 0.738 	 2.312 	 	 -1.562 
1221.700 	 -0.628 	 0.779 	 2.249 	 	 -1.260 
1221.750 	 -0.591 	 0.807 	 2.203 	 	 -0.928 
1221.800 	 -0.567 	 0.823 	 2.174 	 	 -0.574 
1221.850 	 -0.559 	 0.829 	 2.164 	 	 -0.208 
1221.900 	 -0.565 	 0.825 	 2.172 	 	 0.162 
1221.950 	 -0.587 	 0.810 	 2.198 	 	 0.529 
1222.000 	 -0.622 	 0.783 	 2.242 	 	 0.885 
1222.050 	 -0.669 	 0.743 	 2.303 	 	 1.220 
1222.100 	 -0.724 	 0.690 	 2.380 	 	 1.526 
1222.150 	 -0.782 	 0.623 	 2.469 	 	 1.792 
1222.200 	 -0.841 	 0.541 	 2.570 	 	 2.008 
1222.250 	 -0.894 	 0.447 	 2.678 	 	 2.162 
1222.300 	 -0.939 	 0.344 	 2.790 	 	 2.246 
1222.350 	 -0.972 	 0.236 	 2.903 	 	 2.252 
1222.400 	 -0.992 	 0.129 	 3.012 	 	 2.178 
1222.450 	 -1.000 	 0.029 	 3.113 	 	 2.024 
1222.500 	 -0.998 	 -0.061 	 3.081 	 	 1.794 
1222.550 	 -0.991 	 -0.135 	 3.006 	 	 1.496 
1222.600 	 -0.981 	 -0.192 	 2.949 	 	 1.143 
1222.650 	 -0.974 	 -0.228 	 2.911 	 	 0.748 
1222.700 	 -0.970 	 -0.244 	 2.895 	 	 0.325 
1222.750 	 -0.971 	 -0.239 	 2.900 	 	 -0.110 
1222.800 	 -0.977 	 -0.213 	 2.927 	 	 -0.540 
1222.850 	 -0.986 	 -0.166 	 2.975 	 	 -0.951 
1222.900 	 -0.995 	 -0.100 	 3.041 	 	 -1.327 
1222.950 	 -1.000 	 -0.018 	 3.124 	 	 -1.654 
1223.000 	 -0.997 	 0.078 	 3.063 	 	 -1.919 
1223.050 	 -0.983 	 0.183 	 2.958 	 	 -2.111 
1223.100 	 -0.957 	 0.291 	 2.846 	 	 -2.226 
1223.150 	 -0.918 	 0.397 	 2.733 	 	 -2.259 
1223.200 	 -0.868 	 0.496 	 2.623 	 	 -2.213 
1223.250 	 -0.812 	 0.584 	 2.518 	 	 -2.093 
1223.300 	 -0.753 	 0.659 	 2.423 	 	 -1.906 
1223.350 	 -0.695 	 0.719 	 2.340 	 	 -1.664 
1223.400 	 -0.644 	 0.765 	 2.271 	 	 -1.376 
1223.450 	 -0.603 	 0.798 	 2.218 	 	 -1.054 
1223.500 	 -0.574 	 0.819 	 2.183 	 	 -0.708 
1223.550 	 -0.560 	 0.828 	 2.165 	 	 -0.345 
1223.600 	 -0.561 	 0.828 	 2.167 	 	 0.024 
1223.650 	 -0.577 	 0.816 	 2.186 	 	 0.394 
1223.700 	 -0.608 	 0.794 	 2.224 	 	 0.754 
1223.750 	 -0.650 	 0.760 	 2.279 	 	 1.099 
1223.800 	 -0.703 	 0.712 	 2.350 	 	 1.417 
1223.850 	 -0.760 	 0.649 	 2.435 	 	 1.699 
1223.900 	 -0.820 	 0.573 	 2.531 	 	 1.934 
1223.950 	 -0.875 	 0.483 	 2.637 	 	 2.112 
1224.000 	 -0.924 	 0.383 	 2.748 	 	 2.223 
1224.050 	 -0.961 	 0.277 	 2.861 	 	 2.259 
1224.100 	 -0.986 	 0.169 	 2.972 	 	 2.215 
1224.150 	 -0.998 	 0.065 	 3.076 	 	 2.090 
1224.200 	 -1.000 	 -0.029 	 3.112 	 	 1.888 
1224.250 	 -0.994 	 -0.110 	 3.032 	 	 1.614 
1224.300 	 -0.985 	 -0.173 	 2.968 	 	 1.280 
1224.350 	 -0.976 	 -0.217 	 2.923 	 	 0.899 
1224.400 	 -0.971 	 -0.241 	 2.898 	 	 0.484 
1224.450 	 -0.970 	 -0.243 	 2.896 	 	 0.052 
1224.500 	 -0.974 	 -0.225 	 2.915 	 	 -0.382 
1224.550 	 -0.983 	 -0.185 	 2.955 	 	 -0.802 
1224.600 	 -0.992 	 -0.127 	 3.015 	 	 -1.193 
1224.650 	 -0.999 	 -0.050 	 3.092 	 	 -1.539 
1224.700 	 -0.999 	 0.041 	 3.100 	 	 -1.828 
1224.750 	 -0.990 	 0.143 	 2.998 	 	 -2.049 
1224.800 	 -0.968 	 0.251 	 2.888 	 	 -2.193 
1224.850 	 -0.934 	 0.358 	 2.775 	 	 -2.256 
1224.900 	 -0.888 	 0.460 	 2.663 	 	 -2.239 
1224.950 	 -0.833 	 0.553 	 2.556 	 	 -2.146 
1225.000 	 -0.775 	 0.632 	 2.457 	 	 -1.983 
1225.050 	 -0.716 	 0.698 	 2.369 	 	 -1.760 
1225.100 	 -0.662 	 0.749 	 2.295 	 	 -1.488 
1225.150 	 -0.617 	 0.787 	 2.236 	 	 -1.177 
1225.200 	 -0.583 	 0.812 	 2.194 	 	 -0.839 
1225.250 	 -0.564 	 0.826 	 2.170 	 	 -0.481 
1225.300 	 -0.559 	 0.829 	 2.164 	 	 -0.113 
1225.350 	 -0.570 	 0.822 	 2.177 	 	 0.257 
1225.400 	 -0.595 	 0.804 	 2.208 	 	 0.622 
1225.450 	 -0.633 	 0.774 	 2.257 	 	 0.973 
1225.500 	 -0.682 	 0.731 	 2.322 	 	 1.302 
1225.550 	 -0.738 	 0.674 	 2.402 	 	 1.599 
1225.600 	 -0.798 	 0.603 	 2.494 	 	 1.853 
1225.650 	 -0.855 	 0.518 	 2.597 	 	 2.054 
1225.700 	 -0.907 	 0.422 	 2.706 	 	 2.191 
1225.750 	 -0.948 	 0.317 	 2.819 	 	 2.255 
1225.800 	 -0.978 	 0.209 	 2.931 	 	 2.241 
1225.850 	 -0.995 	 0.103 	 3.039 	 	 2.146 
1225.900 	 -1.000 	 0.004 	 3.137 	 	 1.972 
1225.950 	 -0.997 	 -0.082 	 3.060 	 	 1.723 
1226.000 	 -0.988 	 -0.152 	 2.989 	 	 1.411 
1226.050 	 -0.979 	 -0.203 	 2.937 	 	 1.045 
1226.100 	 -0.972 	 -0.234 	 2.905 	 	 0.641 
1226.150 	 -0.970 	 -0.245 	 2.894 	 	 0.214 
1226.200 	 -0.972 	 -0.234 	 2.905 	 	 -0.221 
1226.250 	 -0.979 	 -0.202 	 2.938 	 	 -0.648 
1226.300 	 -0.989 	 -0.151 	 2.990 	 	 -1.052 
1226.350 	 -0.997 	 -0.080 	 3.061 	 	 -1.416 
1226.400 	 -1.000 	 0.006 	 3.136 	 	 -1.728 
1226.450 	 -0.995 	 0.105 	 3.037 	 	 -1.975 
1226.500 	 -0.978 	 0.211 	 2.929 	 	 -2.148 
1226.550 	 -0.948 	 0.319 	 2.817 	 	 -2.242 
1226.600 	 -0.906 	 0.423 	 2.705 	 	 -2.255 
1226.650 	 -0.854 	 0.520 	 2.595 	 	 -2.189 
1226.700 	 -0.797 	 0.604 	 2.493 	 	 -2.051 
1226.750 	 -0.738 	 0.675 	 2.400 	 	 -1.849 
1226.800 	 -0.681 	 0.732 	 2.320 	 	 -1.594 
1226.850 	 -0.633 	 0.775 	 2.256 	 	 -1.297 
1226.900 	 -0.594 	 0.804 	 2.207 	 	 -0.967 
1226.950 	 -0.569 	 0.822 	 2.176 	 	 -0.616 
1227.000 	 -0.559 	 0.829 	 2.164 	 	 -0.251 
1227.050 	 -0.564 	 0.826 	 2.170 	 	 0.119 
1227.100 	 -0.584 	 0.812 	 2.194 	 	 0.487 
1227.150 	 -0.618 	 0.786 	 2.236 	 	 0.845 
1227.200 	 -0.663 	 0.749 	 2.296 	 	 1.183 
1227.250 	 -0.717 	 0.697 	 2.370 	 	 1.493 
1227.300 	 -0.776 	 0.631 	 2.458 	 	 1.764 
1227.350 	 -0.834 	 0.551 	 2.558 	 	 1.986 
1227.400 	 -0.889 	 0.459 	 2.665 	 	 2.148 
1227.450 	 -0.934 	 0.356 	 2.777 	 	 2.240 
1227.500 	 -0.969 	 0.249 	 2.890 	 	 2.256 
1227.550 	 -0.990 	 0.142 	 2.999 	 	 2.191 
1227.600 	 -0.999 	 0.040 	 3.102 	 	 2.046 
1227.650 	 -0.999 	 -0.051 	 3.090 	 	 1.824 
1227.700 	 -0.992 	 -0.128 	 3.014 	 	 1.534 
1227.750 	 -0.982 	 -0.186 	 2.954 	 	 1.186 
1227.800 	 -0.974 	 -0.225 	 2.914 	 	 0.795 
1227.850 	 -0.970 	 -0.243 	 2.896 	 	 0.375 
1227.900 	 -0.971 	 -0.241 	 2.899 	 	 -0.059 
1227.950 	 -0.976 	 -0.217 	 2.923 	 	 -0.491 
1228.000 	 -0.985 	 -0.172 	 2.969 	 	 -0.905 
1228.050 	 -0.994 	 -0.109 	 3.033 	 	 -1.286 
1228.100 	 -1.000 	 -0.028 	 3.114 	 	 -1.619 
1228.150 	 -0.998 	 0.067 	 3.075 	 	 -1.892 
1228.200 	 -0.985 	 0.171 	 2.970 	 	 -2.093 
1228.250 	 -0.960 	 0.279 	 2.859 	 	 -2.217 
1228.300 	 -0.923 	 0.385 	 2.746 	 	 -2.259 
1228.350 	 -0.875 	 0.485 	 2.635 	 	 -2.222 
1228.400 	 -0.819 	 0.574 	 2.530 	 	 -2.110 
1228.450 	 -0.759 	 0.651 	 2.433 	 	 -1.931 
1228.500 	 -0.702 	 0.713 	 2.348 	 	 -1.694 
1228.550 	 -0.650 	 0.760 	 2.278 	 	 -1.412 
1228.600 	 -0.607 	 0.795 	 2.223 	 	 -1.093 
1228.650 	 -0.577 	 0.817 	 2.186 	 	 -0.749 
1228.700 	 -0.561 	 0.828 	 2.166 	 	 -0.388 
1228.750 	 -0.560 	 0.828 	 2.166 	 	 -0.018 
1228.800 	 -0.575 	 0.818 	 2.183 	 	 0.351 
1228.850 	 -0.604 	 0.797 	 2.219 	 	 0.713 
1228.900 	 -0.645 	 0.764 	 2.272 	 	 1.060 
1228.950 	 -0.696 	 0.718 	 2.341 	 	 1.382 
1229.000 	 -0.754 	 0.657 	 2.424 	 	 1.668 
1229.050 	 -0.813 	 0.583 	 2.520 	 	 1.910 
1229.100 	 -0.869 	 0.494 	 2.624 	 	 2.095 
1229.150 	 -0.919 	 0.395 	 2.735 	 	 2.214 
1229.200 	 -0.957 	 0.289 	 2.848 	 	 2.259 
1229.250 	 -0.983 	 0.181 	 2.959 	 	 2.225 
1229.300 	 -0.997 	 0.077 	 3.065 	 	 2.109 
1229.350 	 -1.000 	 -0.019 	 3.123 	 	 1.915 
1229.400 	 -0.995 	 -0.101 	 3.040 	 	 1.649 
1229.450 	 -0.986 	 -0.167 	 2.974 	 	 1.321 
1229.500 	 -0.977 	 -0.213 	 2.927 	 	 0.945 
1229.550 	 -0.971 	 -0.239 	 2.900 	 	 0.533 
1229.600 	 -0.970 	 -0.244 	 2.895 	 	 0.103 
1229.650 	 -0.974 	 -0.228 	 2.912 	 	 -0.332 
1229.700 	 -0.982 	 -0.191 	 2.949 	 	 -0.755 
1229.750 	 -0.991 	 -0.134 	 3.007 	 	 -1.149 
1229.800 	 -0.998 	 -0.060 	 3.082 	 	 -1.502 
1229.850 	 -1.000 	 0.030 	 3.111 	 	 -1.798 
1229.900 	 -0.991 	 0.131 	 3.010 	 	 -2.027 
1229.950 	 -0.971 	 0.238 	 2.901 	 	 -2.180 
1230.000 	 -0.938 	 0.346 	 2.788 	 	 -2.253 
1230.050 	 -0.894 	 0.449 	 2.676 	 	 -2.245 
1230.100 	 -0.840 	 0.543 	 2.568 	 	 -2.160 
1230.150 	 -0.781 	 0.624 	 2.468 	 	 -2.005 
1230.200 	 -0.723 	 0.691 	 2.378 	 	 -1.788 
1230.250 	 -0.668 	 0.744 	 2.302 	 	 -1.522 
1230.300 	 -0.622 	 0.783 	 2.242 	 	 -1.215 
1230.350 	 -0.587 	 0.810 	 2.198 	 	 -0.879 
1230.400 	 -0.565 	 0.825 	 2.171 	 	 -0.523 
1230.450 	 -0.559 	 0.829 	 2.164 	 	 -0.156 
1230.500 	 -0.568 	 0.823 	 2.174 	 	 0.214 
1230.550 	 -0.591 	 0.806 	 2.203 	 	 0.580 
1230.600 	 -0.628 	 0.778 	 2.250 	 	 0.934 
1230.650 	 -0.676 	 0.737 	 2.313 	 	 1.265 
1230.700 	 -0.732 	 0.682 	 2.392 	 	 1.566 
1230.750 	 -0.791 	 0.612 	 2.483 	 	 1.826 
1230.800 	 -0.849 	 0.529 	 2.585 	 	 2.033 
1230.850 	 -0.901 	 0.433 	 2.694 	 	 2.178 
1230.900 	 -0.944 	 0.329 	 2.806 	 	 2.252 
1230.950 	 -0.975 	 0.221 	 2.919 	 	 2.247 
1231.000 	 -0.993 	 0.115 	 3.027 	 	 2.161 
1231.050 	 -1.000 	 0.015 	 3.126 	 	 1.996 
1231.100 	 -0.997 	 -0.072 	 3.069 	 	 1.756 
1231.150 	 -0.990 	 -0.145 	 2.997 	 	 1.450 
1231.200 	 -0.980 	 -0.198 	 2.942 	 	 1.090 
1231.250 	 -0.973 	 -0.232 	 2.908 	 	 0.690 
1231.300 	 -0.970 	 -0.245 	 2.894 	 	 0.264 
1231.350 	 -0.972 	 -0.236 	 2.903 	 	 -0.171 
1231.400 	 -0.978 	 -0.207 	 2.933 	 	 -0.600 
1231.450 	 -0.987 	 -0.158 	 2.983 	 	 -1.007 
1231.500 	 -0.996 	 -0.089 	 3.052 	 	 -1.377 
1231.550 	 -1.000 	 -0.005 	 3.137 	 	 -1.695 
1231.600 	 -0.996 	 0.093 	 3.049 	 	 -1.950 
1231.650 	 -0.980 	 0.198 	 2.942 	 	 -2.132 
1231.700 	 -0.952 	 0.306 	 2.830 	 	 -2.235 
1231.750 	 -0.911 	 0.411 	 2.718 	 	 -2.257 
1231.800 	 -0.861 	 0.509 	 2.608 	 	 -2.200 
1231.850 	 -0.804 	 0.595 	 2.504 	 	 -2.070 
1231.900 	 -0.744 	 0.668 	 2.410 	 	 -1.875 
1231.950 	 -0.688 	 0.726 	 2.329 	 	 -1.626 
1232.000 	 -0.638 	 0.770 	 2.262 	 	 -1.333 
1232.050 	 -0.598 	 0.801 	 2.212 	 	 -1.007 
1232.100 	 -0.571 	 0.821 	 2.179 	 	 -0.657 
1232.150 	 -0.559 	 0.829 	 2.164 	 	 -0.293 
1232.200 	 -0.563 	 0.827 	 2.168 	 	 0.077 
1232.250 	 -0.581 	 0.814 	 2.191 	 	 0.445 
1232.300 	 -0.613 	 0.790 	 2.231 	 	 0.804 
1232.350 	 -0.657 	 0.754 	 2.288 	 	 1.145 
1232.400 	 -0.710 	 0.704 	 2.361 	 	 1.459 
1232.450 	 -0.769 	 0.640 	 2.448 	 	 1.735 
1232.500 	 -0.828 	 0.561 	 2.546 	 	 1.963 
1232.550 	 -0.883 	 0.470 	 2.652 	 	 2.132 
1232.600 	 -0.930 	 0.369 	 2.764 	 	 2.233 
1232.650 	 -0.965 	 0.262 	 2.877 	 	 2.258 
1232.700 	 -0.988 	 0.154 	 2.987 	 	 2.203 
1232.750 	 -0.999 	 0.051 	 3.090 	 	 2.066 
1232.800 	 -0.999 	 -0.042 	 3.100 	 	 1.853 
1232.850 	 -0.993 	 -0.120 	 3.022 	 	 1.570 
1232.900 	 -0.984 	 -0.181 	 2.960 	 	 1.229 
1232.950 	 -0.975 	 -0.222 	 2.918 	 	 0.842 
1233.000 	 -0.970 	 -0.242 	 2.897 	 	 0.424 
1233.050 	 -0.970 	 -0.242 	 2.897 	 	 -0.009 
1233.100 	 -0.975 	 -0.220 	 2.919 	 	 -0.442 
1233.150 	 -0.984 	 -0.178 	 2.962 	 	 -0.859 
1233.200 	 -0.993 	 -0.117 	 3.025 	 	 -1.244 
1233.250 	 -0.999 	 -0.038 	 3.104 	 	 -1.584 
1233.300 	 -0.998 	 0.055 	 3.086 	 	 -1.864 
1233.350 	 -0.987 	 0.158 	 2.983 	 	 -2.074 
1233.400 	 -0.964 	 0.266 	 2.872 	 	 -2.207 
1233.450 	 -0.928 	 0.373 	 2.759 	 	 -2.259 
1233.500 	 -0.881 	 0.474 	 2.648 	 	 -2.230 
1233.550 	 -0.825 	 0.565 	 2.542 	 	 -2.127 
1233.600 	 -0.766 	 0.643 	 2.444 	 	 -1.955 
1233.650 	 -0.708 	 0.706 	 2.358 	 	 -1.724 
1233.700 	 -0.655 	 0.755 	 2.285 	 	 -1.446 
1233.750 	 -0.611 	 0.791 	 2.229 	 	 -1.131 
1233.800 	 -0.580 	 0.815 	 2.189 	 	 -0.789 
1233.850 	 -0.562 	 0.827 	 2.168 	 	 -0.430 
1233.900 	 -0.560 	 0.829 	 2.165 	 	 -0.061 
1233.950 	 -0.572 	 0.820 	 2.180 	 	 0.309 
1234.000 	 -0.600 	 0.800 	 2.214 	 	 0.672 
1234.050 	 -0.640 	 0.769 	 2.265 	 	 1.021 
1234.100 	 -0.690 	 0.724 	 2.332 	 	 1.346 
1234.150 	 -0.747 	 0.665 	 2.414 	 	 1.637 
1234.200 	 -0.806 	 0.592 	 2.508 	 	 1.885 
1234.250 	 -0.863 	 0.505 	 2.612 	 	 2.077 
1234.300 	 -0.913 	 0.407 	 2.722 	 	 2.204 
1234.350 	 -0.953 	 0.302 	 2.835 	 	 2.258 
1234.400 	 -0.981 	 0.194 	 2.947 	 	 2.233 
1234.450 	 -0.996 	 0.088 	 3.053 	 	 2.126 
1234.500 	 -1.000 	 -0.009 	 3.133 	 	 1.941 
1234.550 	 -0.996 	 -0.093 	 3.049 	 	 1.683 
1234.600 	 -0.987 	 -0.160 	 2.981 	 	 1.362 
1234.650 	 -0.978 	 -0.209 	 2.931 	 	 0.990 
1234.700 	 -0.971 	 -0.237 	 2.902 	 	 0.582 
1234.750 	 -0.970 	 -0.245 	 2.895 	 	 0.153 
1234.800 	 -0.973 	 -0.231 	 2.909 	 	 -0.282 
1234.850 	 -0.981 	 -0.196 	 2.944 	 	 -0.707 
1234.900 	 -0.990 	 -0.142 	 2.999 	 	 -1.106 
1234.950 	 -0.998 	 -0.069 	 3.072 	 	 -1.464 
1235.000 	 -1.000 	 0.019 	 3.122 	 	 -1.767 
1235.050 	 -0.993 	 0.119 	 3.022 	 	 -2.004 
1235.100 	 -0.974 	 0.226 	 2.914 	 	 -2.167 
1235.150 	 -0.943 	 0.334 	 2.801 	 	 -2.249 
1235.200 	 -0.899 	 0.437 	 2.689 	 	 -2.250 
1235.250 	 -0.847 	 0.532 	 2.580 	 	 -2.174 
1235.300 	 -0.788 	 0.615 	 2.479 	 	 -2.026 
1235.350 	 -0.729 	 0.684 	 2.388 	 	 -1.816 
1235.400 	 -0.674 	 0.739 	 2.310 	 	 -1.555 
1235.450 	 -0.626 	 0.779 	 2.248 	 	 -1.252 
1235.500 	 -0.590 	 0.807 	 2.202 	 	 -0.919 
1235.550 	 -0.567 	 0.824 	 2.174 	 	 -0.565 
1235.600 	 -0.559 	 0.829 	 2.164 	 	 -0.199 
1235.650 	 -0.566 	 0.825 	 2.172 	 	 0.172 
1235.700 	 -0.588 	 0.809 	 2.199 	 	 0.538 
1235.750 	 -0.623 	 0.782 	 2.244 	 	 0.894 
1235.800 	 -0.670 	 0.742 	 2.305 	 	 1.228 
1235.850 	 -0.725 	 0.689 	 2.382 	 	 1.534 
1235.900 	 -0.784 	 0.621 	 2.472 	 	 1.798 
1235.950 	 -0.842 	 0.539 	 2.572 	 	 2.013 
1236.000 	 -0.896 	 0.445 	 2.681 	 	 2.165 
1236.050 	 -0.940 	 0.341 	 2.793 	 	 2.247 
1236.100 	 -0.972 	 0.234 	 2.906 	 	 2.252 
1236.150 	 -0.992 	 0.127 	 3.014 	 	 2.175 
1236.200 	 -1.000 	 0.026 	 3.115 	 	 2.019 
1236.250 	 -0.998 	 -0.063 	 3.078 	 	 1.787 
1236.300 	 -0.991 	 -0.137 	 3.004 	 	 1.488 
1236.350 	 -0.981 	 -0.193 	 2.947 	 	 1.134 
1236.400 	 -0.973 	 -0.229 	 2.911 	 	 0.737 
1236.450 	 -0.970 	 -0.244 	 2.895 	 	 0.314 
1236.500 	 -0.971 	 -0.238 	 2.901 	 	 -0.121 
